author,publication_count
Sigrun Halvorsen,21
Michael R. Stratton,21
Shazia Alam,21
Yu Han,21
Bingzi Jin,21
Richard H. Friend,21
George D. Yancopoulos,21
Mikhail Kosiborod,21
Vlad Ratziu,21
Adam S. Butterworth,21
S. E. Barclay,21
Hui Xu,21
Yang Zhou,21
Lawrence A. Leiter,21
Wolfgang Wick,21
Hui Chen,21
Hua Guo,21
Robin Kate Kelley,21
Rory Johnson,21
H. Vincent Poor,21
Hamid Asayesh,21
Jost B. Jonas,21
Renchao Che,21
Jian Liu,21
Børge G. Nordestgaard,21
J. M. Cordes,21
Cisca Wijmenga,21
Abid Haleem,21
Pete Smith,21
J. C. Bayley,21
Zheng Liu,21
Aidin Abedi,21
Riccardo Asteggiano,21
Ning Li,21
Ilya Shmulevich,21
Jacques Ferlay,21
Laya Ekhlaspour,21
Scott D. Solomon,20
Niklas Mattsson,20
Sergey Koren,20
Guangming Zeng,20
Andrew Rambaut,20
Jill S. Barnholtz‐Sloan,20
Huan Liu,20
Yang Xu,20
Xu Chen,20
Qian Chen,20
Jeroen J. Bax,20
Dinh‐Toi Chu,20
Can Li,20
Suzanne Barker‐Collo,20
F. Badaracco,20
Amadou Barrow,20
Yun Liu,20
Julien Mazières,20
Mark Diekhans,20
Derek C. Angus,20
Min Zhang,20
Ewout W. Steyerberg,20
Aleksandra Barać,20
Michael Diamond,20
Mohammad H. Forouzanfar,20
John Wilding,20
Xuan Zhang,20
Jens K. Nørskov,20
Yuan Zhang,20
Hedayat Abbastabar,20
Sjors H. W. Scheres,20
Xiaobo Ji,20
Amir Kasaeian,20
Aleš Linhart,20
Marc Humbert,20
Louisa Degenhardt,20
Patrick T. Ellinor,20
Feiyu Kang,20
Yi Luo,20
Chunhua Shen,20
Giuseppe Boriani,20
Sherief Abd‐Elsalam,20
Fahad Shahbaz Khan,20
Johannes B. Reitsma,20
Guihua Yu,20
Liming Dai,20
Stephan Ripke,20
Sonia I. Seneviratne,20
Robert J. Motzer,20
Wen Zhang,20
Richard E. Pratley,20
Jian Chen,20
Guangmin Zhou,20
Iñigo Martincorena,20
Chao Li,20
Xiaoou Tang,20
John N. Weinstein,20
Lei Yang,20
Michael F. Berger,20
Johann S. de Bono,20
Philip N. Newsome,20
Yong Yang,20
Piotr Rutkowski,20
Mary E. Rinella,20
James Zou,20
John C. Marioni,20
John F. Cryan,20
S. Biscans,20
Kai Li,20
Bin Wang,20
Yan Yang,20
Evan E. Eichler,20
Juhani Knuuti,20
Michael S. Noble,20
Paul K. Whelton,20
Gordon Saksena,20
Borislava Mihaylova,20
Gregg W. Stone,20
Aziz Sheikh,20
Tien Yin Wong,20
Kang Liu,20
Xiaogang Liu,20
Kāri Stefánsson,20
Auwal Abdullahi,20
Weng Marc Lim,20
